CWE_ID,Name,Abstraction,Structure,Status,Mapping_Status,Description
135,Incorrect Calculation of Multi-Byte String Length,Base,Simple,Draft,Allowed,The product does not correctly calculate the length of strings that can contain wide or multi-byte characters.
1351,Improper Handling of Hardware Behavior in Exceptionally Cold Environments,Base,Simple,Incomplete,Allowed,"A hardware device, or the firmware running on it, is
                missing or has incorrect protection features to maintain
                goals of security primitives when the device is cooled below
                standard operating temperatures."
1385,Missing Origin Validation in WebSockets,Variant,Simple,Incomplete,Allowed,"The product uses a WebSocket, but it does not properly verify that the source of data or communication is valid."
1386,Insecure Operation on Windows Junction / Mount Point,Base,Simple,Incomplete,Allowed,"The product opens a file or directory, but it does not properly prevent the name from being associated with a junction or mount point to a destination that is outside of the intended control sphere."
1389,Incorrect Parsing of Numbers with Different Radices,Base,Simple,Incomplete,Allowed,"The product parses numeric input assuming base 10 (decimal) values, but it does not account for inputs that use a different base number (radix)."
1392,Use of Default Credentials,Base,Simple,Incomplete,Allowed,The product uses default credentials (such as passwords or cryptographic keys) for potentially critical functionality.
1393,Use of Default Password,Base,Simple,Incomplete,Allowed,The product uses default passwords for potentially critical functionality.
1394,Use of Default Cryptographic Key,Base,Simple,Incomplete,Allowed,The product uses a default cryptographic key for potentially critical functionality.
14,Compiler Removal of Code to Clear Buffers,Variant,Simple,Draft,Allowed,"Sensitive memory is cleared according to the source code, but compiler optimizations leave the memory untouched when it is not read from again, aka ""dead store removal."""
140,Improper Neutralization of Delimiters,Base,Simple,Draft,Allowed,The product does not neutralize or incorrectly neutralizes delimiters.
141,Improper Neutralization of Parameter/Argument Delimiters,Variant,Simple,Draft,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as parameter or argument delimiters when they are sent to a downstream component."
142,Improper Neutralization of Value Delimiters,Variant,Simple,Draft,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as value delimiters when they are sent to a downstream component."
1421,Exposure of Sensitive Information in Shared Microarchitectural Structures during Transient Execution,Base,Simple,Incomplete,Allowed,"A processor event may allow transient operations to access
			architecturally restricted data (for example, in another address
			space) in a shared microarchitectural structure (for example, a CPU
			cache), potentially exposing the data over a covert channel."
1422,Exposure of Sensitive Information caused by Incorrect Data Forwarding during Transient Execution,Base,Simple,Incomplete,Allowed,"A processor event or prediction may allow incorrect or stale data to
		  be forwarded to transient operations, potentially exposing data over a
		  covert channel."
1423,Exposure of Sensitive Information caused by Shared Microarchitectural Predictor State that Influences Transient Execution,Base,Simple,Incomplete,Allowed,"Shared microarchitectural predictor state may allow code to influence
				transient execution across a hardware boundary, potentially exposing
				data that is accessible beyond the boundary over a covert channel."
1427,Improper Neutralization of Input Used for LLM Prompting,Base,Simple,Incomplete,Allowed,"The product uses externally-provided data to build prompts provided to
large language models (LLMs), but the way these prompts are constructed
causes the LLM to fail to distinguish between user-supplied inputs and
developer provided system directives."
1428,Reliance on HTTP instead of HTTPS,Base,Simple,Incomplete,Allowed,The product provides or relies on use of HTTP communications when HTTPS is available.
1429,Missing Security-Relevant Feedback for Unexecuted Operations in Hardware Interface,Base,Simple,Incomplete,Allowed,"The product has a hardware interface that silently discards operations
			in situations for which feedback would be security-relevant, such as
			the timely detection of failures or attacks."
143,Improper Neutralization of Record Delimiters,Variant,Simple,Draft,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as record delimiters when they are sent to a downstream component."
1431,Driving Intermediate Cryptographic State/Results to Hardware Module Outputs,Base,Simple,Incomplete,Allowed,"The product uses a hardware module implementing a cryptographic
		  algorithm that writes sensitive information about the intermediate
		  state or results of its cryptographic operations via one of its output
		  wires (typically the output port containing the final result)."
1434,Insecure Setting of Generative AI/ML Model Inference Parameters,Base,Simple,Draft,Allowed,"The product has a component that relies on a
	  generative AI/ML model configured with inference parameters that
	  produce an unacceptably high rate of erroneous or unexpected
	  outputs."
144,Improper Neutralization of Line Delimiters,Variant,Simple,Draft,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as line delimiters when they are sent to a downstream component."
145,Improper Neutralization of Section Delimiters,Variant,Simple,Incomplete,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as section delimiters when they are sent to a downstream component."
146,Improper Neutralization of Expression/Command Delimiters,Variant,Simple,Incomplete,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as expression or command delimiters when they are sent to a downstream component."
147,Improper Neutralization of Input Terminators,Variant,Simple,Draft,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as input terminators when they are sent to a downstream component."
148,Improper Neutralization of Input Leaders,Variant,Simple,Draft,Allowed,"The product does not properly handle when a leading character or sequence (""leader"") is missing or malformed, or if multiple leaders are used when only one should be allowed."
149,Improper Neutralization of Quoting Syntax,Variant,Simple,Draft,Allowed,"Quotes injected into a product can be used to compromise a system. As data are parsed, an injected/absent/duplicate/malformed use of quotes may cause the process to take unexpected actions."
15,External Control of System or Configuration Setting,Base,Simple,Incomplete,Allowed,One or more system settings or configuration elements can be externally controlled by a user.
150,"Improper Neutralization of Escape, Meta, or Control Sequences",Variant,Simple,Incomplete,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as escape, meta, or control character sequences when they are sent to a downstream component."
151,Improper Neutralization of Comment Delimiters,Variant,Simple,Draft,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as comment delimiters when they are sent to a downstream component."
152,Improper Neutralization of Macro Symbols,Variant,Simple,Draft,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as macro symbols when they are sent to a downstream component."
153,Improper Neutralization of Substitution Characters,Variant,Simple,Draft,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as substitution characters when they are sent to a downstream component."
154,Improper Neutralization of Variable Name Delimiters,Variant,Simple,Incomplete,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as variable name delimiters when they are sent to a downstream component."
155,Improper Neutralization of Wildcards or Matching Symbols,Variant,Simple,Draft,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as wildcards or matching symbols when they are sent to a downstream component."
156,Improper Neutralization of Whitespace,Variant,Simple,Draft,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as whitespace when they are sent to a downstream component."
157,Failure to Sanitize Paired Delimiters,Variant,Simple,Draft,Allowed,"The product does not properly handle the characters that are used to mark the beginning and ending of a group of entities, such as parentheses, brackets, and braces."
158,Improper Neutralization of Null Byte or NUL Character,Variant,Simple,Incomplete,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes NUL characters or null bytes when they are sent to a downstream component."
160,Improper Neutralization of Leading Special Elements,Variant,Simple,Incomplete,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes leading special elements that could be interpreted in unexpected ways when they are sent to a downstream component."
161,Improper Neutralization of Multiple Leading Special Elements,Variant,Simple,Incomplete,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes multiple leading special elements that could be interpreted in unexpected ways when they are sent to a downstream component."
162,Improper Neutralization of Trailing Special Elements,Variant,Simple,Incomplete,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes trailing special elements that could be interpreted in unexpected ways when they are sent to a downstream component."
163,Improper Neutralization of Multiple Trailing Special Elements,Variant,Simple,Incomplete,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes multiple trailing special elements that could be interpreted in unexpected ways when they are sent to a downstream component."
164,Improper Neutralization of Internal Special Elements,Variant,Simple,Incomplete,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes internal special elements that could be interpreted in unexpected ways when they are sent to a downstream component."
165,Improper Neutralization of Multiple Internal Special Elements,Variant,Simple,Incomplete,Allowed,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes multiple internal special elements that could be interpreted in unexpected ways when they are sent to a downstream component."
166,Improper Handling of Missing Special Element,Base,Simple,Draft,Allowed,"The product receives input from an upstream component, but it does not handle or incorrectly handles when an expected special element is missing."
167,Improper Handling of Additional Special Element,Base,Simple,Draft,Allowed,"The product receives input from an upstream component, but it does not handle or incorrectly handles when an additional unexpected special element is provided."
168,Improper Handling of Inconsistent Special Elements,Base,Simple,Draft,Allowed,The product does not properly handle input in which an inconsistency exists between two or more special characters or reserved words.
170,Improper Null Termination,Base,Simple,Incomplete,Allowed,The product does not terminate or incorrectly terminates a string or array with a null character or equivalent terminator.
173,Improper Handling of Alternate Encoding,Variant,Simple,Draft,Allowed,The product does not properly handle when an input uses an alternate encoding that is valid for the control sphere to which the input is being sent.
174,Double Decoding of the Same Data,Variant,Simple,Draft,Allowed,"The product decodes the same input twice, which can limit the effectiveness of any protection mechanism that occurs in between the decoding operations."
175,Improper Handling of Mixed Encoding,Variant,Simple,Draft,Allowed,The product does not properly handle when the same input uses several different (mixed) encodings.
176,Improper Handling of Unicode Encoding,Variant,Simple,Draft,Allowed,The product does not properly handle when an input contains Unicode encoding.
177,Improper Handling of URL Encoding (Hex Encoding),Variant,Simple,Draft,Allowed,The product does not properly handle when all or part of an input has been URL encoded.
178,Improper Handling of Case Sensitivity,Base,Simple,Incomplete,Allowed,"The product does not properly account for differences in case sensitivity when accessing or determining the properties of a resource, leading to inconsistent results."
179,Incorrect Behavior Order: Early Validation,Base,Simple,Incomplete,Allowed,"The product validates input before applying protection mechanisms that modify the input, which could allow an attacker to bypass the validation via dangerous inputs that only arise after the modification."
180,Incorrect Behavior Order: Validate Before Canonicalize,Variant,Simple,Draft,Allowed,"The product validates input before it is canonicalized, which prevents the product from detecting data that becomes invalid after the canonicalization step."
181,Incorrect Behavior Order: Validate Before Filter,Variant,Simple,Draft,Allowed,"The product validates data before it has been filtered, which prevents the product from detecting data that becomes invalid after the filtering step."
182,Collapse of Data into Unsafe Value,Base,Simple,Draft,Allowed,"The product filters data in a way that causes it to be reduced or ""collapsed"" into an unsafe value that violates an expected security property."
183,Permissive List of Allowed Inputs,Base,Simple,Draft,Allowed,"The product implements a protection mechanism that relies on a list of inputs (or properties of inputs) that are explicitly allowed by policy because the inputs are assumed to be safe, but the list is too permissive - that is, it allows an input that is unsafe, leading to resultant weaknesses."
184,Incomplete List of Disallowed Inputs,Base,Simple,Draft,Allowed,"The product implements a protection mechanism that relies on a list of inputs (or properties of inputs) that are not allowed by policy or otherwise require other action to neutralize before additional processing takes place, but the list is incomplete."
186,Overly Restrictive Regular Expression,Base,Simple,Draft,Allowed,"A regular expression is overly restrictive, which prevents dangerous values from being detected."
187,Partial String Comparison,Variant,Simple,Incomplete,Allowed,"The product performs a comparison that only examines a portion of a factor before determining whether there is a match, such as a substring, leading to resultant weaknesses."
188,Reliance on Data/Memory Layout,Base,Simple,Draft,Allowed,"The product makes invalid assumptions about how protocol data or memory is organized at a lower level, resulting in unintended program behavior."
190,Integer Overflow or Wraparound,Base,Simple,Stable,Allowed,"The product performs a calculation that can
         produce an integer overflow or wraparound when the logic
         assumes that the resulting value will always be larger than
         the original value. This occurs when an integer value is
         incremented to a value that is too large to store in the
         associated representation. When this occurs, the value may
         become a very small or negative number."
191,Integer Underflow (Wrap or Wraparound),Base,Simple,Draft,Allowed,"The product subtracts one value from another, such that the result is less than the minimum allowable integer value, which produces a value that is not equal to the correct result."
192,Integer Coercion Error,Variant,Simple,Incomplete,Allowed,"Integer coercion refers to a set of flaws pertaining to the type casting, extension, or truncation of primitive data types."
193,Off-by-one Error,Base,Simple,Draft,Allowed,"A product calculates or uses an incorrect maximum or minimum value that is 1 more, or 1 less, than the correct value."
194,Unexpected Sign Extension,Variant,Simple,Incomplete,Allowed,"The product performs an operation on a number that causes it to be sign extended when it is transformed into a larger data type. When the original number is negative, this can produce unexpected values that lead to resultant weaknesses."
195,Signed to Unsigned Conversion Error,Variant,Simple,Draft,Allowed,"The product uses a signed primitive and performs a cast to an unsigned primitive, which can produce an unexpected value if the value of the signed primitive can not be represented using an unsigned primitive."
196,Unsigned to Signed Conversion Error,Variant,Simple,Draft,Allowed,"The product uses an unsigned primitive and performs a cast to a signed primitive, which can produce an unexpected value if the value of the unsigned primitive can not be represented using a signed primitive."
197,Numeric Truncation Error,Base,Simple,Incomplete,Allowed,Truncation errors occur when a primitive is cast to a primitive of a smaller size and data is lost in the conversion.
198,Use of Incorrect Byte Ordering,Variant,Simple,Draft,Allowed,"The product receives input from an upstream component, but it does not account for byte ordering (e.g. big-endian and little-endian) when processing the input, causing an incorrect number or value to be used."
201,Insertion of Sensitive Information Into Sent Data,Base,Simple,Draft,Allowed,"The code transmits data to another actor, but a portion of the data includes sensitive information that should not be accessible to that actor."
202,Exposure of Sensitive Information Through Data Queries,Base,Simple,Draft,Allowed,"When trying to keep information confidential, an attacker can often infer some of the information by using statistics."
203,Observable Discrepancy,Base,Simple,Incomplete,Allowed,The product behaves differently or sends different responses under different circumstances in a way that is observable to an unauthorized actor.
204,Observable Response Discrepancy,Base,Simple,Incomplete,Allowed,The product provides different responses to incoming requests in a way that reveals internal state information to an unauthorized actor outside of the intended control sphere.
205,Observable Behavioral Discrepancy,Base,Simple,Incomplete,Allowed,"The product's behaviors indicate important differences that may be observed by unauthorized actors in a way that reveals (1) its internal state or decision process, or (2) differences from other products with equivalent functionality."
206,Observable Internal Behavioral Discrepancy,Variant,Simple,Incomplete,Allowed,"The product performs multiple behaviors that are combined to produce a single result, but the individual behaviors are observable separately in a way that allows attackers to reveal internal state or internal decision points."
207,Observable Behavioral Discrepancy With Equivalent Products,Variant,Simple,Draft,Allowed,"The product operates in an environment in which its existence or specific identity should not be known, but it behaves differently than other products with equivalent functionality, in a way that is observable to an attacker."
208,Observable Timing Discrepancy,Base,Simple,Incomplete,Allowed,"Two separate operations in a product require different amounts of time to complete, in a way that is observable to an actor and reveals security-relevant information about the state of the product, such as whether a particular operation was successful or not."
209,Generation of Error Message Containing Sensitive Information,Base,Simple,Draft,Allowed,"The product generates an error message that includes sensitive information about its environment, users, or associated data."
210,Self-generated Error Message Containing Sensitive Information,Base,Simple,Draft,Allowed,The product identifies an error condition and creates its own diagnostic or error messages that contain sensitive information.
211,Externally-Generated Error Message Containing Sensitive Information,Base,Simple,Incomplete,Allowed,"The product performs an operation that triggers an external diagnostic or error message that is not directly generated or controlled by the product, such as an error generated by the programming language interpreter that a software application uses. The error can contain sensitive system information."
212,Improper Removal of Sensitive Information Before Storage or Transfer,Base,Simple,Incomplete,Allowed,"The product stores, transfers, or shares a resource that contains sensitive information, but it does not properly remove that information before the product makes the resource available to unauthorized actors."
213,Exposure of Sensitive Information Due to Incompatible Policies,Base,Simple,Draft,Allowed,"The product's intended functionality exposes information to certain actors in accordance with the developer's security policy, but this information is regarded as sensitive according to the intended security policies of other stakeholders such as the product's administrator, users, or others whose information is being processed."
214,Invocation of Process Using Visible Sensitive Information,Base,Simple,Incomplete,Allowed,"A process is invoked with sensitive command-line arguments, environment variables, or other elements that can be seen by other processes on the operating system."
215,Insertion of Sensitive Information Into Debugging Code,Base,Simple,Draft,Allowed,"The product inserts sensitive information into debugging code, which could expose this information if the debugging code is not disabled in production."
219,Storage of File with Sensitive Data Under Web Root,Variant,Simple,Draft,Allowed,"The product stores sensitive data under the web document root with insufficient access control, which might make it accessible to untrusted parties."
220,Storage of File With Sensitive Data Under FTP Root,Variant,Simple,Draft,Allowed,"The product stores sensitive data under the FTP server root with insufficient access control, which might make it accessible to untrusted parties."
222,Truncation of Security-relevant Information,Base,Simple,Draft,Allowed,"The product truncates the display, recording, or processing of security-relevant information in a way that can obscure the source or nature of an attack."
223,Omission of Security-relevant Information,Base,Simple,Draft,Allowed,"The product does not record or display information that would be important for identifying the source or nature of an attack, or determining if an action is safe."
224,Obscured Security-relevant Information by Alternate Name,Base,Simple,Incomplete,Allowed,"The product records security-relevant information according to an alternate name of the affected entity, instead of the canonical name."
226,Sensitive Information in Resource Not Removed Before Reuse,Base,Simple,Draft,Allowed,"The product releases a resource such as memory or a file so that it can be made available for reuse, but it does not clear or ""zeroize"" the information contained in the resource before the product performs a critical state transition or makes the resource available for reuse by other entities."
229,Improper Handling of Values,Base,Simple,Incomplete,Allowed,"The product does not properly handle when the expected number of values for parameters, fields, or arguments is not provided in input, or if those values are undefined."
23,Relative Path Traversal,Base,Simple,Draft,Allowed,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize sequences such as "".."" that can resolve to a location that is outside of that directory."
230,Improper Handling of Missing Values,Variant,Simple,Draft,Allowed,"The product does not handle or incorrectly handles when a parameter, field, or argument name is specified, but the associated value is missing, i.e. it is empty, blank, or null."
231,Improper Handling of Extra Values,Variant,Simple,Draft,Allowed,The product does not handle or incorrectly handles when more values are provided than expected.
232,Improper Handling of Undefined Values,Variant,Simple,Draft,Allowed,"The product does not handle or incorrectly handles when a value is not defined or supported for the associated parameter, field, or argument name."
233,Improper Handling of Parameters,Base,Simple,Incomplete,Allowed,"The product does not properly handle when the expected number of parameters, fields, or arguments is not provided in input, or if those parameters are undefined."
235,Improper Handling of Extra Parameters,Variant,Simple,Draft,Allowed,"The product does not handle or incorrectly handles when the number of parameters, fields, or arguments with the same name exceeds the expected amount."
236,Improper Handling of Undefined Parameters,Variant,Simple,Draft,Allowed,"The product does not handle or incorrectly handles when a particular parameter, field, or argument name is not defined or supported by the product."
237,Improper Handling of Structural Elements,Base,Simple,Incomplete,Allowed,The product does not handle or incorrectly handles inputs that are related to complex structures.
238,Improper Handling of Incomplete Structural Elements,Variant,Simple,Draft,Allowed,The product does not handle or incorrectly handles when a particular structural element is not completely specified.
239,Failure to Handle Incomplete Element,Variant,Simple,Draft,Allowed,The product does not properly handle when a particular element is not completely specified.
24,Path Traversal: '../filedir',Variant,Simple,Incomplete,Allowed,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize ""../"" sequences that can resolve to a location that is outside of that directory."
240,Improper Handling of Inconsistent Structural Elements,Base,Simple,Draft,Allowed,"The product does not handle or incorrectly handles when two or more structural elements should be consistent, but are not."
241,Improper Handling of Unexpected Data Type,Base,Simple,Draft,Allowed,"The product does not handle or incorrectly handles when a particular element is not the expected type, e.g. it expects a digit (0-9) but is provided with a letter (A-Z)."
242,Use of Inherently Dangerous Function,Base,Simple,Draft,Allowed,The product calls a function that can never be guaranteed to work safely.
243,Creation of chroot Jail Without Changing Working Directory,Variant,Simple,Draft,Allowed,"The product uses the chroot() system call to create a jail, but does not change the working directory afterward. This does not prevent access to files outside of the jail."
244,Improper Clearing of Heap Memory Before Release ('Heap Inspection'),Variant,Simple,Draft,Allowed,"Using realloc() to resize buffers that store sensitive information can leave the sensitive information exposed to attack, because it is not removed from memory."
245,J2EE Bad Practices: Direct Management of Connections,Variant,Simple,Draft,Allowed,"The J2EE application directly manages connections, instead of using the container's connection management facilities."
246,J2EE Bad Practices: Direct Use of Sockets,Variant,Simple,Draft,Allowed,The J2EE application directly uses sockets instead of using framework method calls.
248,Uncaught Exception,Base,Simple,Draft,Allowed,"An exception is thrown from a function, but it is not caught."
25,Path Traversal: '/../filedir',Variant,Simple,Incomplete,Allowed,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize ""/../"" sequences that can resolve to a location that is outside of that directory."
250,Execution with Unnecessary Privileges,Base,Simple,Draft,Allowed,"The product performs an operation at a privilege level that is higher than the minimum level required, which creates new weaknesses or amplifies the consequences of other weaknesses."
252,Unchecked Return Value,Base,Simple,Draft,Allowed,"The product does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions."
253,Incorrect Check of Function Return Value,Base,Simple,Incomplete,Allowed,"The product incorrectly checks a return value from a function, which prevents it from detecting errors or exceptional conditions."
256,Plaintext Storage of a Password,Base,Simple,Incomplete,Allowed,The product stores a password in plaintext within resources such as memory or files.
257,Storing Passwords in a Recoverable Format,Base,Simple,Incomplete,Allowed,"The storage of passwords in a recoverable format makes them subject to password reuse attacks by malicious users. In fact, it should be noted that recoverable encrypted passwords provide no significant benefit over plaintext passwords since they are subject not only to reuse by malicious attackers but also by malicious insiders. If a system administrator can recover a password directly, or use a brute force search on the available information, the administrator can use the password on other accounts."
258,Empty Password in Configuration File,Variant,Simple,Incomplete,Allowed,Using an empty string as a password is insecure.
259,Use of Hard-coded Password,Variant,Simple,Draft,Allowed,"The product contains a hard-coded password, which it uses for its own inbound authentication or for outbound communication to external components."
26,Path Traversal: '/dir/../filename',Variant,Simple,Draft,Allowed,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize ""/dir/../filename"" sequences that can resolve to a location that is outside of that directory."
260,Password in Configuration File,Base,Simple,Incomplete,Allowed,The product stores a password in a configuration file that might be accessible to actors who do not know the password.
261,Weak Encoding for Password,Base,Simple,Incomplete,Allowed,Obscuring a password with a trivial encoding does not protect the password.
262,Not Using Password Aging,Base,Simple,Draft,Allowed,The product does not have a mechanism in place for managing password aging.
266,Incorrect Privilege Assignment,Base,Simple,Draft,Allowed,"A product incorrectly assigns a privilege to a particular actor, creating an unintended sphere of control for that actor."
267,Privilege Defined With Unsafe Actions,Base,Simple,Incomplete,Allowed,"A particular privilege, role, capability, or right can be used to perform unsafe actions that were not intended, even when it is assigned to the correct entity."
268,Privilege Chaining,Base,Simple,Draft,Allowed,"Two distinct privileges, roles, capabilities, or rights can be combined in a way that allows an entity to perform unsafe actions that would not be allowed without that combination."
27,Path Traversal: 'dir/../../filename',Variant,Simple,Draft,Allowed,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize multiple internal ""../"" sequences that can resolve to a location that is outside of that directory."
270,Privilege Context Switching Error,Base,Simple,Draft,Allowed,The product does not properly manage privileges while it is switching between different contexts that have different privileges or spheres of control.
272,Least Privilege Violation,Base,Simple,Incomplete,Allowed,The elevated privilege level required to perform operations such as chroot() should be dropped immediately after the operation is performed.
273,Improper Check for Dropped Privileges,Base,Simple,Incomplete,Allowed,The product attempts to drop privileges but does not check or incorrectly checks to see if the drop succeeded.
276,Incorrect Default Permissions,Base,Simple,Draft,Allowed,"During installation, installed file permissions are set to allow anyone to modify those files."
277,Insecure Inherited Permissions,Variant,Simple,Draft,Allowed,A product defines a set of insecure permissions that are inherited by objects that are created by the program.
278,Insecure Preserved Inherited Permissions,Variant,Simple,Incomplete,Allowed,"A product inherits a set of insecure permissions for an object, e.g. when copying from an archive file, without user awareness or involvement."
279,Incorrect Execution-Assigned Permissions,Variant,Simple,Draft,Allowed,"While it is executing, the product sets the permissions of an object in a way that violates the intended permissions that have been specified by the user."
28,Path Traversal: '..\filedir',Variant,Simple,Incomplete,Allowed,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize ""..\"" sequences that can resolve to a location that is outside of that directory."
280,Improper Handling of Insufficient Permissions or Privileges,Base,Simple,Draft,Allowed,The product does not handle or incorrectly handles when it has insufficient privileges to access resources or functionality as specified by their permissions. This may cause it to follow unexpected code paths that may leave the product in an invalid state.
281,Improper Preservation of Permissions,Base,Simple,Draft,Allowed,"The product does not preserve permissions or incorrectly preserves permissions when copying, restoring, or sharing objects, which can cause them to have less restrictive permissions than intended."
283,Unverified Ownership,Base,Simple,Draft,Allowed,The product does not properly verify that a critical resource is owned by the proper entity.
288,Authentication Bypass Using an Alternate Path or Channel,Base,Simple,Incomplete,Allowed,"The product requires authentication, but the product has an alternate path or channel that does not require authentication."
289,Authentication Bypass by Alternate Name,Base,Simple,Incomplete,Allowed,"The product performs authentication based on the name of a resource being accessed, or the name of the actor performing the access, but it does not properly check all possible names for that resource or actor."
29,Path Traversal: '\..\filename',Variant,Simple,Incomplete,Allowed,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '\..\filename' (leading backslash dot dot) sequences that can resolve to a location that is outside of that directory."
290,Authentication Bypass by Spoofing,Base,Simple,Incomplete,Allowed,This attack-focused weakness is caused by incorrectly implemented authentication schemes that are subject to spoofing attacks.
291,Reliance on IP Address for Authentication,Variant,Simple,Incomplete,Allowed,The product uses an IP address for authentication.
293,Using Referer Field for Authentication,Variant,Simple,Draft,Allowed,"The referer field in HTTP requests can be easily modified and, as such, is not a valid means of message integrity checking."
294,Authentication Bypass by Capture-replay,Base,Simple,Incomplete,Allowed,A capture-replay flaw exists when the design of the product makes it possible for a malicious user to sniff network traffic and bypass authentication by replaying it to the server in question to the same effect as the original message (or with minor changes).
295,Improper Certificate Validation,Base,Simple,Draft,Allowed,"The product does not validate, or incorrectly validates, a certificate."
296,Improper Following of a Certificate's Chain of Trust,Base,Simple,Draft,Allowed,"The product does not follow, or incorrectly follows, the chain of trust for a certificate back to a trusted root certificate."
297,Improper Validation of Certificate with Host Mismatch,Variant,Simple,Incomplete,Allowed,"The product communicates with a host that provides a certificate, but the product does not properly ensure that the certificate is actually associated with that host."
298,Improper Validation of Certificate Expiration,Variant,Simple,Draft,Allowed,A certificate expiration is not validated or is incorrectly validated.
299,Improper Check for Certificate Revocation,Base,Simple,Draft,Allowed,"The product does not check or incorrectly checks the revocation status of a certificate, which may cause it to use a certificate that has been compromised."
30,Path Traversal: '\dir\..\filename',Variant,Simple,Draft,Allowed,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '\dir\..\filename' (leading backslash dot dot) sequences that can resolve to a location that is outside of that directory."
301,Reflection Attack in an Authentication Protocol,Base,Simple,Draft,Allowed,Simple authentication protocols are subject to reflection attacks if a malicious user can use the target machine to impersonate a trusted user.
302,Authentication Bypass by Assumed-Immutable Data,Base,Simple,Incomplete,Allowed,"The authentication scheme or implementation uses key data elements that are assumed to be immutable, but can be controlled or modified by the attacker."
303,Incorrect Implementation of Authentication Algorithm,Base,Simple,Draft,Allowed,"The requirements for the product dictate the use of an established authentication algorithm, but the implementation of the algorithm is incorrect."
304,Missing Critical Step in Authentication,Base,Simple,Draft,Allowed,"The product implements an authentication technique, but it skips a step that weakens the technique."
305,Authentication Bypass by Primary Weakness,Base,Simple,Draft,Allowed,"The authentication algorithm is sound, but the implemented mechanism can be bypassed as the result of a separate weakness that is primary to the authentication error."
306,Missing Authentication for Critical Function,Base,Simple,Draft,Allowed,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.
307,Improper Restriction of Excessive Authentication Attempts,Base,Simple,Draft,Allowed,The product does not implement sufficient measures to prevent multiple failed authentication attempts within a short time frame.
308,Use of Single-factor Authentication,Base,Simple,Draft,Allowed,"The product uses an authentication algorithm that uses a single factor (e.g., a password) in a security context that should require more than one factor."
309,Use of Password System for Primary Authentication,Base,Simple,Draft,Allowed,"The use of password systems as the primary means of authentication may be subject to several flaws or shortcomings, each reducing the effectiveness of the mechanism."
31,Path Traversal: 'dir\..\..\filename',Variant,Simple,Draft,Allowed,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize 'dir\..\..\filename' (multiple internal backslash dot dot) sequences that can resolve to a location that is outside of that directory."
312,Cleartext Storage of Sensitive Information,Base,Simple,Draft,Allowed,The product stores sensitive information in cleartext within a resource that might be accessible to another control sphere.
313,Cleartext Storage in a File or on Disk,Variant,Simple,Draft,Allowed,"The product stores sensitive information in cleartext in a file, or on disk."
314,Cleartext Storage in the Registry,Variant,Simple,Draft,Allowed,The product stores sensitive information in cleartext in the registry.
315,Cleartext Storage of Sensitive Information in a Cookie,Variant,Simple,Draft,Allowed,The product stores sensitive information in cleartext in a cookie.
316,Cleartext Storage of Sensitive Information in Memory,Variant,Simple,Draft,Allowed,The product stores sensitive information in cleartext in memory.
